"Population résidante permanente et non permanente selon le canton, le sexe, la nationalité (sélection), le pays de naissance et l'âge, 2016",,,,,,
,,,,,,
Année,Canton,Type de population,Nationalité (sélection),Pays de naissance,Sexe,Age - Total
2016,Suisse,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,8419550
2016,Suisse,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,77763
2016,Zürich,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1487969
2016,Zürich,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,12956
2016,Bern / Berne,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1026513
2016,Bern / Berne,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,6355
2016,Luzern,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,403397
2016,Luzern,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,2965
2016,Uri,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,36145
2016,Uri,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,313
2016,Schwyz,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,155863
2016,Schwyz,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1222
2016,Obwalden,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,37378
2016,Obwalden,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,286
2016,Nidwalden,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,42556
2016,Nidwalden,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,285
2016,Glarus,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,40147
2016,Glarus,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,367
2016,Zug,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,123948
2016,Zug,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1688
2016,Fribourg / Freiburg,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,311914
2016,Fribourg / Freiburg,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1761
2016,Solothurn,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,269441
2016,Solothurn,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1847
2016,Basel-Stadt,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,193070
2016,Basel-Stadt,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,2896
2016,Basel-Landschaft,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,285624
2016,Basel-Landschaft,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1437
2016,Schaffhausen,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,80769
2016,Schaffhausen,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,837
2016,Appenzell Ausserrhoden,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,54954
2016,Appenzell Ausserrhoden,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,180
2016,Appenzell Innerrhoden,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,16003
2016,Appenzell Innerrhoden,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,95
2016,St. Gallen,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,502552
2016,St. Gallen,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,2884
2016,Graubünden / Grigioni / Grischun,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,197550
2016,Graubünden / Grigioni / Grischun,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,7696
2016,Aargau,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,663462
2016,Aargau,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,5012
2016,Thurgau,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,270709
2016,Thurgau,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1858
2016,Ticino,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,354375
2016,Ticino,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,2581
2016,Vaud,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,784822
2016,Vaud,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,9704
2016,Valais / Wallis,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,339176
2016,Valais / Wallis,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,7400
2016,Neuchâtel,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,178567
2016,Neuchâtel,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,1261
2016,Genève,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,489524
2016,Genève,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,3598
2016,Jura,Population résidante permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,73122
2016,Jura,Population résidante non permanente,Nationalité (sélection) - Total,Pays de naissance - Total,Sexe - Total,279
